,composition,elements,label,for_test
Ag 52.0 Al 33.0 Ce 15.0,"{'Ag': 52.0, 'Al': 33.0, 'Ce': 15.0}","('Ag', 'Al', 'Ce')",OTHERS,False
mp-1077980,"{'Sr': 1.0, 'Ag': 4.0, 'Sb': 2.0}","('Ag', 'Sb', 'Sr')",OTHERS,False
mp-30079,"{'Li': 1.0, 'Mg': 2.0, 'Ge': 1.0}","('Ge', 'Li', 'Mg')",OTHERS,False
mvc-2967,"{'Ba': 2.0, 'Tl': 1.0, 'Fe': 2.0, 'O': 7.0}","('Ba', 'Fe', 'O', 'Tl')",OTHERS,False
mp-1202279,"{'K': 18.0, 'Ho': 18.0, 'F': 72.0}","('F', 'Ho', 'K')",OTHERS,False
mp-34421,"{'Bi': 3.0, 'Cd': 1.0, 'O': 7.0}","('Bi', 'Cd', 'O')",OTHERS,False
mp-976583,"{'K': 6.0, 'Co': 2.0}","('Co', 'K')",OTHERS,False
mp-626550,"{'Ti': 6.0, 'H': 4.0, 'O': 14.0}","('H', 'O', 'Ti')",OTHERS,False
mp-555012,"{'La': 24.0, 'S': 16.0, 'N': 12.0, 'Cl': 4.0}","('Cl', 'La', 'N', 'S')",OTHERS,False
mp-755743,"{'Li': 4.0, 'Ti': 2.0, 'Cr': 2.0, 'O': 8.0}","('Cr', 'Li', 'O', 'Ti')",OTHERS,False
mp-766253,"{'La': 2.0, 'Th': 11.0, 'O': 26.0}","('La', 'O', 'Th')",OTHERS,False
mp-753335,"{'Li': 4.0, 'V': 4.0, 'F': 14.0}","('F', 'Li', 'V')",OTHERS,False
mp-1176451,"{'Mn': 5.0, 'V': 1.0, 'O': 12.0}","('Mn', 'O', 'V')",OTHERS,False
mp-21893,"{'Mn': 4.0, 'Te': 8.0}","('Mn', 'Te')",OTHERS,False
mp-568695,"{'Ca': 3.0, 'Cd': 3.0, 'Sn': 3.0}","('Ca', 'Cd', 'Sn')",OTHERS,False
mp-753169,"{'Mn': 4.0, 'F': 10.0}","('F', 'Mn')",OTHERS,False
mp-1040366,"{'K': 1.0, 'Li': 1.0, 'Mg': 30.0, 'O': 31.0}","('K', 'Li', 'Mg', 'O')",OTHERS,False
mp-1208310,"{'Tb': 4.0, 'Si': 4.0, 'Pd': 8.0}","('Pd', 'Si', 'Tb')",OTHERS,False
mp-1215696,"{'Zn': 2.0, 'In': 1.0, 'Cu': 1.0, 'S': 4.0}","('Cu', 'In', 'S', 'Zn')",OTHERS,False
mp-1187611,"{'Tm': 1.0, 'Lu': 1.0, 'Ag': 2.0}","('Ag', 'Lu', 'Tm')",OTHERS,False
mp-1194239,"{'Pu': 4.0, 'Si': 2.0, 'O': 20.0}","('O', 'Pu', 'Si')",OTHERS,False
