reactant,product,XLogP,TPSA
CCS(=O)(=O)Cl.OCCBr,CCS(=O)(=O)OCCBr,0.8,51.8
CC(C)CS(=O)(=O)Cl.OCCCl,CC(C)CS(=O)(=O)OCCCl,1.6,51.8
O=[N+]([O-])c1cccc2cnc(Cl)cc12,Nc1cccc2cnc(Cl)cc12,2.4,38.9
Cc1cc2c([N+](=O)[O-])cccc2c[n+]1[O-].O=P(Cl)(Cl)Cl,Cc1cc2c([N+](=O)[O-])cccc2c(Cl)n1,3.3,58.7
CCCCC[C@H](O)C=CC1C=CC(=O)C1CC=CCCCC(=O)O,CCCCC[C@H](O)C=CC1CCC(=O)C1CC=CCCCC(=O)O,3.8,74.6
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(OC(C)=O)c3ccccc3)[C@H]2SC1,CC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1,-3.1,109.0
COc1cccc(C2(CC(Cl)(Cl)Cl)CO2)c1.ClC(Cl)(Cl)CC1(c2ccc(Br)cc2)CO1,ClC(Cl)(Cl)CC1(c2cccc(Br)c2)CO1,4.1,12.5
COc1cc2ccccc2cc1C(=O)O.O=S(Cl)Cl,COc1cc2ccccc2cc1C(=O)Cl,3.7,26.3
CCN(CC)CC.O.O=C(Cl)Oc1ccccc1,Oc1ccccc1Cc1ccccc1O,3.1,40.5
CCOC(N)=O.Cc1ccc(N=C=O)cc1N=C=O,O=C=NC1CCC(CC2CCC(N=C=O)CC2)CC1,5.3,58.9
CCO.CN1c2ccccc2CC(=O)c2cc(Br)ccc21,CCOC1=Cc2ccccc2N(C)c2ccc(Br)cc21,4.8,12.5
CCOC(=O)CC1(O)Cc2ccccc2N(C)c2ccc(SCC)cc21,CCOC(=O)C=C1Cc2ccccc2N(C)c2ccc(SCC)cc21,4.7,54.8
CCOC(=O)C=C1Cc2ccccc2N(C)c2ccc(SCC)cc21,CCSc1ccc2c(c1)C(CC(=O)O)=Cc1ccccc1N2C,4.0,65.8
CCSc1ccc2c(c1)C(CC(=O)Oc1ccc([N+](=O)[O-])cc1)=Cc1ccccc1N2C.CNC,CCSc1ccc2c(c1)C(CC(=O)N(C)C)=Cc1ccccc1N2C,3.9,48.8
CCSc1ccc2c(c1)C(CC(=O)N(C)C)=Cc1ccccc1N2C,CCSc1ccc2c(c1)C(CCN(C)C)=Cc1ccccc1N2C,4.8,31.8
CCSc1ccc2c(c1)C(CCN(C)C)=Cc1ccccc1N2C.O.[OH-],CCS(=O)(=O)c1ccc2c(c1)C(CCN(C)C)=Cc1ccccc1N2C,3.5,49.0
Nc1cc2c(cc1Br)nc1n2CCC1.[C-]#N,N#Cc1cc2c(cc1Br)nc1n2CCC1,2.2,41.6
Cl.Nc1ccc2nc3n(c2c1)CCC3,Clc1ccc2nc3n(c2c1)CCC3,2.4,17.8
CCOC(=O)c1ccc2c(c1)nc1n2CCC1,O=C(O)c1ccc2c(c1)nc1n2CCC1,1.3,55.1
CC(C)(C)NN.O=C1CCCCC1.[C-]#N,CC(C)(C)NNC1(C#N)CCCCC1,1.9,47.8
CC(C)(C)NN.O=C1CCCCC1.[C-]#N,CC(C)(C)NNC1(C#N)CCCCC1,1.9,47.8
CC1CC(C)(C)CC(C#N)(NNC(C)(C)C)C1,CC1CC(C)(C)CC(C#N)(N=NC(C)(C)C)C1,4.0,48.5
C#N.CC(=NNC(C)(C)C)C1CC1,CC(C)(C)NNC(C)(C#N)C1CC1,1.3,47.8
CC(C)(C)NNC(C)(C#N)C1CC1,CC(C)(C)N=NC(C)(C#N)C1CC1,2.1,48.5
CC(C)(C)NNC(C)(C#N)C1CC1.O=C1CCCCCCC1,CC(C)(C)NNC1(C#N)CCCCCCC1,3.0,47.8
CC(C)(C)NNC1(C#N)CCCCCCC1,CC(C)(C)N=NC1(C#N)CCCCCCC1,3.8,48.5
CC(C)(C)NNC1(C#N)CCCCCC1,CC(C)(C)N=NC1(C#N)CCCCCC1,3.3,48.5
CC(CC(C)C)=NNC(C)(C)C.ClCl,CC(C)CC(C)(Cl)N=NC(C)(C)C,3.8,24.7
CCCCCCC(Cl)(CCCCCCCCCCC(=O)O)N=NC(C)(C)C.[C-]#N,CCCCCCC(C#N)(CCCCCCCCCCC(=O)O)N=NC(C)(C)C,7.7,85.8
CCOC(=O)CC(C)(C#N)N=NC(C)(C)C,CC(C)(C)N=NC(C)(C#N)CC(=O)O,0.9,85.8
CC(C)(C)N=NC(C)(C)C#N.NO,CC(C)(C)N=NC(C)(C)C(N)=NO,1.2,83.3
Nc1ccc(C(=O)O)c([N+](=O)[O-])c1.O=C(Cl)C1CC1,O=C(O)c1ccc(NC(=O)C2CC2)cc1[N+](=O)[O-],1.1,112.0
Nc1ccc(C(=O)O)cc1[N+](=O)[O-].O=C(Cl)C1CC1,O=C(O)c1ccc(NC(=O)C2CC2)c([N+](=O)[O-])c1,1.1,112.0
CCN(CC)CC.Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CC1,O=C(O)c1ccc(NC(=O)C2CCCC2)cc1,2.8,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)CCC1CCCC1,O=C(CCC1CCCC1)Nc1ccc(C(=O)O)cc1,3.1,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)CCC1CCCCC1,O=C(CCC1CCCCC1)Nc1ccc(C(=O)O)cc1,3.7,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)C1=CCCCC1,O=C(Nc1ccc(C(=O)O)cc1)C1=CCCCC1,2.5,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CC=CCC1,O=C(O)c1ccc(NC(=O)C2CC=CCC2)cc1,2.1,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CCCCCC1,O=C(O)c1ccc(NC(=O)C2CCCCCC2)cc1,3.2,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CCC=CCC1,O=C(O)c1ccc(NC(=O)C2CCC=CCC2)cc1,2.5,66.4
Nc1ccc(C(=O)O)cc1.O=C(Cl)CC1CC2CCC1C2,O=C(CC1CC2CCC1C2)Nc1ccc(C(=O)O)cc1,3.0,66.4
Nc1ccc(C(=O)O)c([N+](=O)[O-])c1.O=C(Cl)c1ccc([N+](=O)[O-])cc1,O=C(Nc1ccc(C(=O)O)c([N+](=O)[O-])c1)c1ccc([N+](=O)[O-])cc1,2.1,158.0
Nc1ccc(CC(=O)O)cc1.O=C(Cl)C1CCC1,O=C(O)Cc1ccc(NC(=O)C2CCC2)cc1,1.6,66.4
Nc1ccc(C(=O)O)c(O)c1.O=C(Cl)C1CCCC1,O=C(O)c1ccc(NC(=O)C2CCCC2)cc1O,3.2,86.6
COc1cc(C(=O)Cl)cc(OC)c1OC.Nc1ccc(C=CC(=O)O)cc1,COc1cc(C(=O)Nc2ccc(C=CC(=O)O)cc2)cc(OC)c1OC,2.6,94.1
